Symbol,Date,0,1,2,3,4,5,6,7,8,9,Mean,Median,StdDev
AAPL,2019-11-05,0.9939,0.9978,0.9943,0.9996,0.9974,0.9961,0.9939,0.9884,0.997,0.9993,0.9957699999999999,0.9961,0.003001527262759909
MSFT,2019-11-05,0.9981,0.9658,0.9959,0.9988,0.9991,0.995,0.9568,0.9834,0.9983,0.0,0.8891199999999999,0.995,0.28455621203210557
AMZN,2019-11-05,0.9964,0.9954,0.999,0.995,0.9996,0.9988,0.996,0.0,0.9954,0.9474,0.8923,0.9954,0.28550060486588796
TSLA,2019-11-05,0.9984,-0.4767,0.9998,0.9903,0.9906,0.998,0.9986,0.9841,0.8708,0.9909,0.8344800000000001,0.9906,0.4206311047591572
V,2019-11-05,0.9867,0.9871,0.8762,0.9979,0.9948,0.9991,0.9977,0.9972,0.9983,0.999,0.9834000000000002,0.9972,0.03455955334307328
HPQ,2019-11-05,0.998,0.9977,0.9948,0.9959,0.999,0.9977,0.9938,0.9919,0.0,0.9917,0.89605,0.9948,0.28621595109790576
ACB,2019-11-05,0.9936,0.9957,0.9572,0.9957,0.9946,0.9925,0.8173,-0.9624,0.9935,0.931,0.77087,0.9925,0.5568754109470306
INTC,2019-11-05,0.9967,0.9987,0.9815,0.9943,0.9917,0.9982,0.9968,0.9958,0.9991,0.9938,0.99466,0.9958,0.004696374810812727
NVDA,2019-11-05,0.9982,0.9957,0.9977,0.9874,0.9962,0.9935,0.9857,0.9992,0.9794,0.9971,0.99301,0.9957,0.00601817015127495
AMD,2019-11-05,0.9811,0.9998,0.9957,0.9957,0.9919,0.9902,0.9907,0.9715,0.9968,0.9736,0.9887,0.9907,0.008987803183237053
SP500,2019-11-05,0.9973,0.9741,0.9893,0.2732,0.4209,0.9988,0.9752,0.8411,0.9934,0.9949,0.84582,0.9752,0.246420267091271
