Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean,Median,StdDev
2019-11-14,0.9552,0.9552,0.3182,0.9853,0.9853,-0.7441,0.9966,0.9966,-0.7441,,,,,,,,,,,,,,,,,,0.5226888888888889,0.9552,0.6835727498034496
2019-11-13,0.988,0.988,0.296,-0.6808,,,,,,,,,,,,,,,,,,,,,,,0.3978,0.3978,0.6116229688296541
2019-11-11,0.9938,0.9938,0.989,0.9899,-0.9217,0.989,-0.9217,-0.2023,-0.2023,0.7579,0.9933,0.9933,0.9912,,,,,,,,,,,,,,0.4956307692307692,0.989,0.7199330504110124
2019-11-10,0.9692,0.9692,,,,,,,,,,,,,,,,,,,,,,,,,0.9692,0.9692,0.0
2019-11-08,0.9868,0.9191,0.9868,0.9669,0.9298,0.9298,0.188,0.9665,0.9932,0.9191,,,,,,,,,,,,,,,,,0.8786000000000002,0.9298,0.221549433569918
2019-11-07,0.7184,0.7184,0.9877,0.9877,,,,,,,,,,,,,,,,,,,,,,,0.8530500000000001,0.8530500000000001,0.12043462126813867
2019-11-06,0.9201,0.9201,0.9387,0.961,0.961,0.743,,,,,,,,,,,,,,,,,,,,,0.9073166666666667,0.9201,0.06991678241519449
2019-11-05,0.9919,0.9724,0.9724,0.5594,0.5594,,,,,,,,,,,,,,,,,,,,,,0.8111,0.89175,0.19017755707308293
2019-11-04,0.9829,0.9919,0.9872,0.9843,0.9843,0.9517,0.9517,0.9829,0.9941,,,,,,,,,,,,,,,,,,0.979,0.9836,0.014345997224439865
2019-11-03,0.9941,0.9986,,,,,,,,,,,,,,,,,,,,,,,,,0.9963500000000001,0.9963500000000001,0.001837117307087408
2019-11-02,0.9259,0.9259,,,,,,,,,,,,,,,,,,,,,,,,,0.9259,0.9259,0.0
2019-10-31,0.5245,0.5245,-0.6546,-0.6546,0.6775,0.9874,0.9874,,,,,,,,,,,,,,,,,,,,0.34172857142857144,0.5245,0.6152612614593964
2019-10-30,0.9731,0.9731,0.0,0.9942,,,,,,,,,,,,,,,,,,,,,,,0.7351,0.9731,0.3919173773471478
2019-10-29,0.8947,0.8947,0.9744,0.9744,0.3182,0.3182,0.8126,-0.9493,0.8126,0.4588,-0.912,-0.912,0.1531,0.1707,0.9737,,,,,,,,,,,,0.3321866666666667,0.39549333333333336,0.6683657719727808
2019-10-28,-0.8865,0.0339,-0.9575,0.9127,0.9759,0.9759,0.9781,-0.9575,0.9894,0.9781,0.9894,-0.7923,-0.7717,0.964,0.9917,0.9666,0.9666,0.9841,0.9826,0.9535,0.9844,0.9869,0.9809,0.9865,0.9944,0.9514,0.5831346153846154,0.9759,0.7241163169942377
2019-10-27,0.8854,0.8854,0.9865,,,,,,,,,,,,,,,,,,,,,,,,0.9190999999999999,0.90225,0.041956161645222055
2019-10-26,0.7506,0.7506,,,,,,,,,,,,,,,,,,,,,,,,,0.7506,0.7506,0.0
2019-10-25,0.9944,0.8176,0.9875,0.8807,0.9875,0.984,0.5474,-0.633,0.9766,0.9504,0.9313,-0.0985,-0.2636,,,,,,,,,,,,,,0.6201769230769231,0.906,0.5299291456878196
2019-10-24,-0.2263,0.9766,-0.5676,0.9969,0.8807,0.8268,0.8268,0.9969,0.4939,0.9903,0.9324,0.9911,0.9871,-0.0534,0.9704,0.8934,0.97,0.3182,0.9698,-0.6539,0.7845,-0.9196,0.9517,0.9758,0.8804,,0.607716,0.88705,0.575040463805596
2019-10-23,0.4215,0.4215,0.4215,0.5957,0.8357,0.9022,0.9022,-0.3647,0.9873,0.9873,0.9935,0.9979,0.9979,0.9354,0.9904,0.9908,0.9549,0.886,,,,,,,,,0.7698333333333333,0.9022,0.33707671372070264
2019-10-22,0.9337,0.9337,0.0763,0.8915,0.8915,0.8677,0.8677,-0.9463,-0.9463,,,,,,,,,,,,,,,,,,0.3966111111111111,0.8677,0.7363272325296402
2019-10-21,-0.9246,0.9894,-0.9246,0.9894,0.9952,-0.8316,0.9758,0.9267,-0.3151,0.9923,0.9371,0.9371,0.9955,0.9642,0.9642,0.9822,0.4754,-0.25,0.6705,-0.9621,0.968,0.765,,,,,0.4690909090909091,0.9371,0.7333883381059768
2019-10-20,-0.9729,0.9936,-0.9863,0.9934,-0.813,,,,,,,,,,,,,,,,,,,,,,-0.15703999999999999,-0.48501999999999995,0.8682618099562892
2019-10-19,-0.813,,,,,,,,,,,,,,,,,,,,,,,,,,-0.813,-0.813,1.3597399555105182e-16
2019-10-18,-0.9736,-0.9736,-0.9538,0.7783,-0.9538,0.7783,0.5187,0.9118,-0.2263,-0.9577,0.1779,0.9936,,,,,,,,,,,,,,,-0.07334999999999997,-0.07334999999999997,0.7820053703337141
2019-10-17,0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,0.2732,0.2732,0.0
2019-10-16,-0.995,-0.8671,-0.8671,0.6858,-0.9915,-0.9915,,,,,,,,,,,,,,,,,,,,,-0.6710666666666668,-0.8671,0.5684387852001668
2019-10-15,0.9909,0.8635,0.0387,0.9975,0.0387,,,,,,,,,,,,,,,,,,,,,,0.58586,0.72468,0.4134962687227287
